predicted,observed
171,111
777,777
711,777
111,111
711,111
171,777
711,111
172,112
711,111
112,112
555,111
711,777
172,112
171,111
171,777
171,777
711,777
711,777
711,111
712,112
171,111
711,777
711,111
777,777
555,777
171,111
171,111
171,111
711,111
777,111
711,777
171,111
711,777
555,111
711,777
172,112
711,111
711,777
712,777
711,777
172,112
711,777
711,111
172,112
111,111
555,111
711,777
711,111
171,111
777,111
171,111
172,112
711,111
711,111
171,111
171,111
711,111
711,777
711,111
112,112
711,777
711,777
172,112
171,111
171,111
711,111
172,112
711,111
171,111
711,111
172,112
711,777
111,111
777,777
171,777
171,111
711,111
711,111
711,777
711,777
711,777
112,112
711,777
171,111
172,112
711,111
171,111
712,777
711,777
711,777
171,111
711,777
712,112
172,112
172,112
711,777
711,777
711,111
171,111
171,777
171,111
711,777
711,111
711,777
171,111
712,777
171,777
711,111
171,111
711,777
171,111
711,111
711,111
171,111
171,777
172,112
172,112
712,112
111,111
711,111
711,777
171,111
171,111
172,112
711,111
777,777
555,777
171,111
172,112
172,112
711,111
172,112
171,111
555,111
172,112
711,777
711,777
171,111
711,777
171,111
555,777
111,111
111,111
172,112
172,112
171,111
171,111
171,111
171,111
711,111
171,777
711,777
112,112
172,112
111,111
555,111
171,111
171,777
111,111
172,112
712,777
172,112
171,111
171,111
171,111
171,777
711,777
171,111
711,111
711,111
171,171
171,777
172,112
711,111
711,777
711,111
777,777
711,777
711,111
711,111
171,111
111,111
171,111
172,112
711,777
172,112
777,777
171,111
711,171
172,112
172,112
172,112
171,171
111,111
711,777
171,111
711,777
112,112
171,777
171,111
711,111
711,111
111,111
712,777
172,112
171,111
111,111
171,111
777,777
711,111
171,111
171,111
711,777
171,171
711,111
711,111
171,111
172,112
711,111
711,777
711,111
711,777
112,112
172,112
711,777
172,112
711,111
711,777
711,111
711,111
712,777
171,111
171,111
711,111
711,111
711,777
711,777
711,111
711,111
555,111
712,112
172,112
712,112
777,111
172,112
711,111
171,111
711,777
171,777
711,111
711,777
711,111
171,111
112,112
711,777
111,111
711,111
711,777
172,112
711,111
711,777
171,111
172,112
711,111
172,112
777,777
171,111
172,112
712,112
171,777
172,112
172,112
711,111
171,111
171,777
172,112
171,111
172,112
711,777
711,777
172,112
171,111
711,777
711,111
711,111
171,111
711,111
711,111
171,111
711,111
172,112
111,111
171,111
171,111
711,111
111,111
172,112
711,777
711,777
172,112
172,112
112,777
172,112
172,112
711,111
171,111
711,777
711,777
171,111
111,111
711,111
711,111
172,112
711,777
711,777
111,111
171,111
172,112
711,111
711,111
711,777
712,112
171,111
711,111
172,112
171,111
171,111
711,111
171,171
711,111
711,777
172,112
171,777
712,112
711,111
711,111
111,111
711,111
111,111
171,111
711,777
172,172
711,111
172,112
171,111
711,111
112,112
111,111
171,111
172,112
171,111
777,777
711,111
711,111
172,112
711,111
711,777
711,111
777,777
171,111
711,777
711,111
711,111
171,111
711,111
171,111
711,111
171,111
711,111
555,111
711,777
711,111
171,777
711,111
711,111
171,111
711,111
171,111
711,111
112,112
711,777
172,112
171,171
172,112
711,777
711,777
171,111
711,777
171,111
172,112
171,111
112,112
112,112
171,777
171,171
711,111
171,777
711,777
171,111
711,777
711,777
172,112
711,777
112,112
172,777
711,777
711,111
171,777
711,111
711,777
711,111
711,777
172,112
171,111
171,777
172,112
171,111
711,111
711,777
111,111
172,112
711,777
172,112
711,777
171,111
171,111
711,111
711,111
171,111
171,111
711,111
171,111
555,171
112,112
171,111
711,111
711,777
711,111
172,112
172,112
711,111
711,111
711,111
172,112
711,777
712,112
171,111
711,111
171,111
711,777
711,777
711,777
711,777
171,111
171,111
171,111
172,112
172,112
711,777
171,171
111,777
711,777
712,112
171,777
171,777
171,777
111,111
711,111
712,777
712,112
711,111
171,111
171,111
711,777
172,112
172,112
171,111
712,777
172,112
555,111
172,112
711,111
711,111
171,111
711,111
711,777
711,111
111,111
555,111
171,111
112,112
171,111
172,112
112,112
711,111
112,112
711,111
112,112
711,111
711,111
172,112
171,111
711,111
171,111
171,111
171,111
711,111
172,112
711,777
111,111
711,777
171,111
172,112
711,111
711,111
171,111
711,111
711,777
711,111
171,777
711,777
172,112
777,777
172,112
711,111
711,777
777,777
777,777
711,111
711,777
171,111
112,112
172,112
172,112
171,777
171,111
112,112
172,112
171,777
711,111
712,112
171,111
711,777
711,111
711,111
555,111
777,777
711,777
711,777
711,111
172,112
171,111
172,112
171,111
171,171
711,777
172,112
555,111
711,777
172,112
171,111
711,111
712,112
172,112
171,111
711,777
171,171
172,112
112,112
172,112
171,171
172,112
711,777
711,777
171,777
111,111
711,111
172,112
711,777
172,112
172,112
711,777
172,112
711,777
711,777
777,777
711,777
711,777
171,777
711,111
172,172
711,777
171,777
171,111
171,777
171,111
171,111
171,111
171,111
171,111
171,111
712,112
711,777
711,777
171,171
171,777
711,111
711,111
112,112
711,111
172,112
711,777
171,777
171,111
172,112
171,171
171,171
711,777
711,111
711,777
171,111
711,111
711,111
171,777
711,111
711,777
711,111
711,777
711,111
171,777
711,777
711,111
555,111
711,777
171,111
171,111
171,111
171,171
711,777
111,111
555,111
172,112
171,111
777,777
711,777
711,111
777,111
711,111
711,777
171,111
711,111
171,111
172,112
712,777
711,777
711,777
711,777
711,111
171,111
171,777
711,111
711,777
711,777
172,172
112,112
171,777
171,777
172,112
112,112
711,111
711,777
711,777
711,111
555,777
171,777
711,777
711,777
171,111
171,777
711,777
172,112
711,111
711,111
112,112
172,112
711,777
171,111
111,111
171,777
171,111
711,111
711,111
171,777
711,111
171,111
711,111
711,777
171,111
711,777
711,777
171,111
711,777
711,777
171,777
171,111
711,111
171,777
171,111
777,777
711,777
711,777
172,112
712,112
112,112
555,777
171,111
171,777
711,777
172,777
172,112
172,112
555,777
112,112
112,112
711,777
711,111
171,777
711,777
172,112
171,111
711,111
172,112
171,777
711,111
171,777
711,111
171,111
172,112
172,112
171,111
171,111
711,777
711,777
711,111
711,777
171,777
711,777
711,111
711,111
172,112
171,111
712,777
711,111
171,111
712,112
112,112
172,112
777,777
171,111
711,111
172,112
171,111
711,777
171,111
172,112
711,111
711,777
711,777
171,777
555,777
171,111
171,111
172,777
171,777
172,112
172,112
711,777
711,111
171,777
711,777
172,112
712,112
172,172
172,112
171,777
171,111
172,112
111,111
711,111
711,111
711,777
711,111
711,777
711,111
711,777
171,777
171,111
172,112
711,777
711,777
172,112
111,777
711,111
711,111
171,777
711,777
172,112
711,111
711,777
112,112
171,111
711,111
172,112
711,777
711,777
171,111
111,111
111,111
171,111
171,111
711,777
711,777
172,112
171,777
172,112
711,777
711,111
555,111
112,112
711,777
711,111
171,111
711,111
711,777
172,112
111,111
711,777
172,112
171,111
171,777
711,111
111,111
171,111
711,111
171,111
711,111
171,777
711,777
711,111
171,111
711,777
711,777
171,111
711,777
171,111
711,111
711,111
711,111
172,112
172,112
171,111
711,111
171,111
711,777
171,171
711,111
172,112
172,112
711,777
111,111
171,111
712,777
777,111
711,777
171,111
171,111
172,777
171,111
711,777
171,777
171,111
172,112
711,111
711,777
711,111
711,777
172,112
711,111
171,777
711,111
711,111
711,111
711,111
112,112
171,111
555,111
171,111
711,777
171,777
711,111
711,111
712,777
555,111
171,111
711,111
172,112
172,112
172,112
711,111
171,111
711,777
172,112
711,111
711,111
711,777
711,111
711,111
171,111
711,777
171,111
171,777
172,112
711,111
777,777
555,777
711,111
172,112
711,777
711,777
555,111
555,777
555,111
555,777
555,777
555,112
555,111
555,777
555,111
555,777
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,112
555,111
555,111
555,111
555,111
555,777
555,111
555,777
555,111
555,112
555,112
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,777
555,111
555,111
555,111
555,777
555,111
555,777
555,777
555,111
555,112
555,777
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,777
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,777
555,111
555,777
555,111
555,111
555,111
555,777
555,777
555,777
555,777
555,111
555,111
555,112
555,171
555,111
555,112
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,112
555,111
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,777
555,111
555,777
555,111
555,777
555,111
555,777
555,111
555,111
555,777
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,777
555,111
555,777
555,777
555,111
555,777
555,111
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,777
555,777
555,777
555,111
555,111
555,777
555,111
555,111
555,777
555,111
555,777
555,111
555,111
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,777
555,777
555,111
555,777
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,777
555,111
555,111
555,777
555,111
555,777
555,171
555,777
555,111
555,111
555,111
555,777
555,777
555,777
555,111
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,777
555,111
555,111
555,777
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,777
555,111
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,777
555,111
555,777
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,777
555,111
555,111
555,777
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,777
555,171
555,111
555,777
555,111
555,171
555,777
555,111
555,112
555,111
555,777
555,111
555,111
555,777
555,112
555,777
555,111
555,777
555,111
555,111
555,777
555,111
555,777
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,171
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,777
555,111
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,112
555,777
555,111
555,111
555,111
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,111
555,111
555,111
555,777
555,777
555,777
555,111
555,111
555,111
555,111
555,111
555,112
555,112
555,777
555,111
555,111
555,111
555,111
555,777
555,777
555,111
555,112
555,111
555,111
555,111
555,112
555,111
555,777
555,111
555,777
555,777
555,111
555,111
111,111
