predicted,observed
171,111
555,111
172,112
111,111
171,777
171,111
556,112
171,111
711,777
555,111
556,112
171,111
711,777
172,112
556,777
172,777
555,111
171,777
172,112
171,777
556,112
555,777
555,111
555,111
171,111
171,111
172,112
556,112
777,777
555,777
556,777
711,777
171,111
172,112
711,111
556,112
555,111
172,777
171,777
777,112
556,112
555,111
171,777
171,777
172,112
172,112
556,112
172,112
556,112
171,111
111,111
171,111
556,777
711,111
111,111
555,777
172,112
556,112
171,777
711,111
711,111
171,777
171,777
556,112
172,112
555,111
172,112
171,777
556,112
171,777
711,111
556,777
171,111
171,777
555,777
171,111
172,112
171,111
711,111
172,112
171,777
171,111
111,111
711,111
711,111
711,111
172,112
555,111
711,111
556,112
171,111
172,112
171,777
711,111
556,112
711,777
556,112
112,112
555,111
112,112
172,777
712,112
556,112
555,111
556,777
556,112
711,777
711,111
711,111
171,111
172,112
711,777
555,111
112,112
555,777
556,112
556,112
171,777
555,111
556,112
712,777
172,777
556,112
556,112
171,777
556,112
172,112
711,777
111,111
171,111
711,777
172,112
172,112
555,111
172,777
556,112
172,112
556,112
555,777
556,112
556,112
171,111
711,111
172,112
112,112
712,112
556,112
556,112
556,112
172,112
172,112
777,111
555,777
172,112
172,112
555,111
555,777
555,777
711,777
555,777
555,111
711,777
711,111
171,111
555,777
556,112
556,112
171,777
171,111
172,112
556,112
556,112
556,777
172,112
556,112
171,777
711,111
555,111
172,112
555,111
555,777
171,111
172,777
556,112
777,777
171,777
171,111
556,112
711,777
172,112
556,777
712,111
172,112
711,111
711,777
111,111
112,112
171,111
555,111
711,777
172,112
172,112
555,777
555,111
711,111
555,111
555,111
172,777
711,777
711,111
556,112
172,112
172,777
711,111
171,777
171,111
171,111
111,111
171,111
555,111
556,112
556,112
171,111
171,111
171,777
556,112
171,777
555,777
171,111
555,111
171,777
171,777
556,112
556,112
711,111
112,112
112,112
711,777
777,777
172,777
711,111
172,777
556,112
172,112
555,111
171,777
711,777
171,777
556,112
711,777
711,111
556,112
556,112
711,111
555,111
555,111
171,777
711,777
171,111
556,112
172,112
711,777
711,111
171,777
711,777
711,777
711,111
172,112
555,111
555,777
171,111
171,111
172,112
171,777
556,112
711,111
172,112
711,777
711,111
556,112
171,111
556,777
172,112
555,111
556,112
712,112
711,111
171,111
172,112
711,171
172,112
711,111
171,111
172,112
556,112
711,111
711,111
555,111
171,171
172,112
171,111
171,171
172,112
171,111
171,111
555,111
556,112
172,777
172,777
555,111
171,777
711,111
171,111
556,777
111,111
711,111
555,111
172,112
556,112
171,111
555,111
556,112
712,112
555,111
711,111
172,112
172,777
171,111
172,112
556,112
172,112
555,111
172,112
172,112
555,777
556,112
711,111
555,111
555,111
711,111
172,112
711,111
556,112
555,111
555,111
171,111
171,111
172,112
171,777
711,111
556,112
172,112
172,112
711,111
555,111
172,112
555,111
556,112
112,112
172,777
556,112
112,112
172,112
171,111
556,112
711,111
171,111
555,111
556,112
555,777
555,111
777,111
556,112
172,112
556,112
172,112
555,111
556,112
711,111
555,111
556,112
172,112
111,111
777,111
555,111
171,111
172,112
555,111
711,111
556,112
172,112
555,171
555,111
171,111
171,111
711,111
777,777
555,111
172,112
711,111
711,111
712,112
172,112
711,111
172,112
555,111
777,111
556,112
172,112
556,112
172,112
556,112
555,111
555,111
172,112
171,111
171,111
556,112
711,111
711,777
172,112
711,111
711,111
171,111
172,112
172,112
556,112
555,111
711,777
711,111
171,111
171,111
556,112
711,111
711,111
556,112
711,111
172,112
171,111
711,111
172,112
556,112
555,111
555,111
171,111
172,112
556,777
172,112
172,112
111,111
555,111
171,111
171,111
555,111
172,112
711,111
556,112
555,111
172,112
556,112
555,111
556,112
556,112
711,111
711,111
172,112
555,111
555,111
556,112
171,111
555,111
172,112
711,111
172,112
711,111
172,112
172,112
172,112
171,111
711,111
171,111
556,112
556,112
711,111
555,777
556,112
555,111
556,112
711,111
556,112
556,112
556,112
556,112
172,112
556,112
555,111
555,111
711,111
172,112
556,112
172,112
171,111
711,111
112,112
171,111
711,111
556,112
711,111
171,111
556,112
555,111
556,112
171,111
556,112
556,112
172,112
711,111
111,111
112,112
171,111
172,112
172,112
172,112
711,111
171,111
711,111
172,112
171,111
711,111
171,111
711,111
172,112
172,112
171,111
711,111
556,112
711,111
172,112
712,112
171,111
556,112
556,112
556,777
711,111
172,112
172,112
172,112
556,112
171,111
172,112
555,111
555,111
172,112
556,112
172,112
112,112
555,111
171,111
711,111
556,112
111,111
172,777
556,112
555,111
555,111
711,111
171,777
556,112
556,112
711,111
777,111
556,112
556,112
172,112
172,112
172,112
112,112
556,112
171,111
711,111
712,112
711,111
172,112
172,112
171,111
171,111
171,111
556,112
712,111
711,111
172,112
711,111
555,111
556,112
172,112
711,111
711,111
556,112
556,112
555,111
172,112
171,111
712,112
171,111
712,112
556,112
711,111
555,111
172,112
171,111
712,112
555,111
556,112
171,111
555,111
556,112
555,111
711,111
712,112
172,777
172,112
172,112
172,112
711,111
556,112
556,112
711,111
171,111
556,112
172,112
555,111
172,777
711,111
556,112
556,112
712,112
556,112
556,112
711,111
171,111
172,112
712,112
711,111
556,112
556,112
556,777
711,111
711,111
555,111
711,111
172,112
556,112
556,112
711,111
171,112
171,111
555,111
555,111
555,111
111,111
556,112
556,111
172,112
171,111
555,111
171,111
171,111
171,111
777,777
172,112
172,112
711,111
556,112
711,111
171,777
711,111
711,111
556,112
711,777
172,112
172,777
171,111
172,112
556,112
711,111
556,112
556,112
555,777
172,112
171,111
555,111
711,111
711,111
112,112
556,112
172,112
711,111
556,112
112,112
711,111
172,112
171,111
711,111
171,111
711,111
711,111
172,112
556,112
172,112
711,111
711,111
556,112
555,111
712,112
171,111
556,112
171,111
555,111
111,111
555,111
711,111
711,111
711,111
172,112
777,111
556,112
555,111
777,777
711,111
171,111
712,112
711,111
111,111
172,112
555,111
556,112
711,111
711,111
556,112
555,111
171,111
172,112
171,111
112,112
171,111
171,111
172,112
556,112
556,112
555,111
172,112
171,111
556,112
711,111
555,111
556,112
171,111
711,111
171,111
172,112
171,111
172,112
172,112
711,111
711,111
556,112
171,111
555,111
172,112
172,112
171,777
171,111
711,111
172,112
711,111
555,111
171,111
111,111
172,112
171,777
555,111
172,112
171,111
711,111
556,112
111,111
172,112
556,112
555,111
711,111
172,777
711,111
171,777
171,111
556,112
172,112
172,112
172,112
172,112
172,112
556,112
556,112
777,777
711,111
171,111
555,111
711,111
172,112
171,777
171,111
171,111
172,112
172,112
556,112
171,111
711,111
556,112
172,112
555,111
555,111
555,111
171,111
711,111
555,111
711,777
172,112
555,111
556,112
112,112
172,112
556,112
711,111
171,111
171,777
172,112
555,777
171,111
555,111
172,112
555,111
711,111
555,111
556,777
555,111
111,111
171,111
711,111
172,112
711,777
555,777
556,112
711,777
711,111
172,112
555,777
172,112
171,111
112,112
555,111
172,112
711,111
172,112
556,112
711,111
556,112
556,112
711,111
112,112
556,112
711,111
171,777
556,112
711,777
171,777
171,777
172,112
172,112
172,112
171,777
172,112
711,111
711,111
555,777
172,112
172,112
711,777
711,777
711,111
555,777
556,112
711,111
555,111
556,777
711,111
556,112
555,111
777,777
556,112
712,112
555,777
556,777
172,777
171,111
171,111
171,111
556,112
555,777
112,112
556,112
555,111
556,112
555,777
171,777
555,111
171,777
555,111
711,111
172,112
112,112
555,111
555,111
711,111
171,111
556,112
555,111
556,112
172,112
711,111
172,112
555,111
172,112
711,111
112,112
556,112
172,112
556,112
555,777
171,111
555,111
172,777
112,112
555,777
172,112
711,777
172,112
711,111
555,777
555,111
711,111
711,777
171,111
555,111
555,111
555,777
555,111
556,112
171,777
555,111
711,111
777,111
171,777
555,111
711,111
712,112
555,111
172,777
172,112
555,111
111,111
556,112
711,777
171,111
171,111
172,112
172,777
171,111
711,777
171,111
556,112
711,111
555,777
172,112
172,112
172,112
555,111
555,777
172,112
555,111
711,111
711,111
171,111
556,112
555,111
556,112
171,111
711,111
171,111
111,111
171,111
171,111
556,777
171,111
555,111
171,111
711,111
171,111
172,112
555,111
712,112
711,111
171,111
711,111
711,777
172,112
171,777
555,777
711,111
171,777
556,112
555,777
172,777
556,112
556,112
172,112
711,111
555,777
171,111
555,777
556,112
172,112
171,111
711,111
171,111
172,112
171,111
555,111
172,112
711,111
171,111
172,112
171,111
172,112
556,112
172,777
172,112
711,777
711,111
172,112
556,112
556,112
555,111
556,112
555,111
555,777
711,111
171,777
777,777
711,111
555,777
171,111
556,112
777,111
171,111
556,112
555,111
556,112
171,777
555,111
171,111
711,111
711,111
711,111
171,111
711,111
555,111
171,111
556,777
172,112
711,111
711,111
555,111
111,111
171,111
555,777
555,111
711,111
172,112
555,111
171,777
711,111
172,112
556,112
777,777
711,111
556,112
172,112
777,777
711,111
556,777
172,112
172,112
172,112
172,112
172,777
556,112
171,111
171,171
171,111
555,111
111,111
172,112
171,111
172,777
112,112
171,111
172,112
555,777
711,111
171,111
556,112
556,112
555,111
171,777
555,111
556,112
711,111
711,777
711,777
555,111
171,777
556,112
556,777
555,111
711,111
556,112
777,777
556,112
555,111
172,777
172,112
171,111
172,112
711,111
555,111
171,111
556,112
172,112
555,111
777,777
556,112
556,112
711,111
556,112
556,112
172,112
172,112
555,777
555,111
711,111
555,111
172,112
172,112
172,112
171,777
711,777
555,111
556,112
711,111
171,777
555,111
556,777
111,111
711,111
556,112
172,112
171,777
711,111
556,112
556,112
555,111
172,112
556,112
711,111
112,112
711,777
712,777
171,111
171,777
556,777
172,112
172,777
556,112
556,112
711,111
555,777
556,112
711,111
555,777
172,112
556,777
172,777
172,112
171,777
555,111
711,111
555,111
171,111
171,777
555,111
555,777
171,111
556,112
171,777
172,777
711,111
555,777
171,111
172,112
172,112
556,112
556,112
171,111
172,112
556,112
556,112
171,111
711,777
711,111
555,111
555,777
711,777
556,777
556,112
711,111
172,777
555,111
111,111
556,112
171,777
172,777
711,111
172,112
555,777
711,777
171,777
556,112
172,112
171,111
172,777
555,777
556,112
171,111
172,777
172,112
171,777
172,112
171,111
112,112
711,777
712,112
172,112
777,777
556,112
172,777
555,111
171,777
556,112
556,112
172,777
711,111
556,777
112,112
171,111
556,112
172,777
111,111
711,111
171,777
711,777
711,111
711,777
171,111
711,111
556,112
172,112
171,777
555,777
556,112
556,112
172,777
171,111
711,777
556,112
172,777
172,112
556,777
171,111
172,112
555,111
172,777
171,777
556,777
556,777
171,111
711,111
556,112
556,112
556,112
555,111
555,111
556,112
555,777
111,111
711,111
555,777
172,112
112,112
171,777
556,112
171,777
711,111
172,777
777,777
555,111
711,111
711,111
711,111
711,111
555,111
556,112
555,111
112,112
171,777
711,111
711,111
555,111
172,777
112,112
555,111
555,777
555,777
555,111
777,777
172,777
172,112
555,111
556,112
556,112
555,111
711,111
556,112
711,777
171,111
711,111
711,777
171,777
711,777
556,112
171,111
171,111
171,111
171,111
556,112
171,111
555,111
172,777
555,111
711,111
711,777
171,777
555,111
111,111
172,112
172,777
555,111
172,777
556,112
171,777
555,777
171,777
711,111
171,777
171,111
711,777
555,777
112,777
711,111
711,111
112,112
711,777
556,112
555,111
711,777
556,112
171,111
555,777
171,777
711,111
555,111
711,777
172,777
711,777
111,111
711,111
112,112
111,111
711,111
171,777
172,777
711,777
555,777
711,111
111,111
712,777
171,111
171,111
171,111
172,112
171,111
172,112
712,112
172,777
556,777
171,777
172,777
555,111
171,777
711,111
556,112
555,777
556,112
172,112
172,777
172,112
172,112
171,111
556,112
172,112
711,111
171,777
556,777
711,777
171,777
172,112
711,111
711,111
556,777
555,111
172,112
111,111
555,777
556,112
112,112
556,112
555,111
555,111
171,111
711,111
556,112
171,111
555,777
556,777
555,777
171,111
172,112
172,777
555,777
555,111
711,111
172,777
555,777
171,777
555,111
556,112
556,777
171,777
171,111
171,777
556,777
711,111
171,777
555,777
556,777
711,111
711,777
172,777
171,111
171,111
711,777
555,171
172,112
556,777
555,777
172,112
555,777
172,777
711,777
556,112
171,111
171,777
171,777
777,111
711,777
556,112
172,777
171,111
555,777
711,111
556,112
555,777
555,111
711,111
555,111
171,111
556,112
555,111
556,112
555,777
172,112
555,111
711,111
711,777
555,111
712,777
171,111
172,777
172,777
555,111
711,777
711,777
171,777
556,777
556,112
172,777
555,111
171,111
711,777
171,111
555,777
711,111
711,777
171,777
555,777
711,777
777,777
556,777
171,777
172,112
556,112
171,111
171,777
555,777
555,777
555,777
555,777
556,112
172,777
711,777
556,112
171,777
556,777
172,777
171,111
712,777
556,112
556,777
171,777
711,111
172,777
711,111
556,777
555,111
556,777
555,777
555,111
711,777
171,777
171,777
711,777
171,777
171,777
556,112
172,777
711,111
172,112
171,777
555,111
711,111
555,111
172,112
777,111
711,111
556,777
556,777
711,111
555,777
112,112
112,112
172,777
171,777
556,777
171,777
171,777
556,112
556,777
172,777
555,777
556,112
711,111
172,112
556,112
555,777
555,111
555,777
555,111
711,111
556,112
172,777
556,112
172,112
172,112
172,112
171,777
555,111
556,112
172,777
172,777
711,777
171,777
172,112
555,111
711,777
171,777
171,111
555,111
111,111
711,777
555,777
111,111
556,112
171,777
171,111
172,112
556,112
111,111
556,112
171,777
555,111
172,112
711,111
556,112
711,777
172,112
555,111
112,112
172,112
711,777
172,112
711,777
556,112
172,112
171,111
556,112
556,112
171,111
711,111
556,112
171,777
171,777
172,112
172,112
711,777
556,112
556,112
556,112
556,712
172,111
171,111
711,111
171,111
555,111
172,112
777,777
172,777
711,111
555,111
711,777
556,112
711,111
111,111
171,777
555,111
556,777
711,111
555,111
555,111
171,777
172,777
711,777
556,112
555,111
171,111
171,111
172,112
711,111
711,111
555,111
172,112
555,777
556,112
777,777
711,111
555,111
171,777
171,111
555,111
172,777
556,777
556,777
171,111
171,111
711,111
711,111
556,777
777,112
555,111
172,112
172,112
711,777
555,111
555,777
555,111
172,112
172,112
555,777
171,111
556,777
555,111
171,777
172,112
171,111
555,111
556,112
111,111
172,112
555,111
555,777
172,112
711,777
555,111
172,112
711,111
711,777
171,111
172,112
111,111
556,112
556,112
171,111
555,777
171,111
711,111
172,112
555,777
711,777
556,777
555,777
556,112
171,111
555,111
171,111
555,111
555,777
556,112
555,111
556,112
555,111
711,111
171,777
111,111
777,777
711,777
711,777
172,112
711,111
556,112
556,112
711,777
711,111
171,777
711,111
712,112
555,111
711,111
555,111
172,112
171,777
555,111
556,112
172,112
711,111
555,111
112,112
711,111
171,777
171,111
711,111
171,777
711,111
555,111
171,111
172,112
171,111
777,777
111,111
556,112
711,111
172,112
556,112
172,112
556,777
172,777
711,111
556,112
556,112
711,111
555,777
171,111
555,111
555,111
171,111
556,112
555,111
556,112
556,777
711,111
171,111
711,111
556,112
171,111
172,112
711,711
555,111
556,777
556,112
556,112
711,111
555,111
555,111
711,111
555,777
712,112
172,112
711,777
556,112
555,111
171,777
172,777
171,111
711,111
555,777
556,112
555,111
172,777
556,112
171,111
711,777
711,111
711,777
555,111
172,112
171,111
556,112
555,111
556,112
171,777
171,111
711,111
172,777
555,777
555,111
171,111
712,112
711,777
555,111
555,111
172,112
556,112
555,111
556,112
171,111
171,111
171,111
711,111
712,112
555,777
555,111
171,111
111,111
171,111
711,111
172,112
711,111
555,111
711,111
711,111
711,111
555,111
711,111
555,111
711,111
711,777
711,111
711,777
555,777
711,111
711,777
711,777
711,111
555,777
711,777
555,111
555,111
711,777
711,111
711,111
555,111
171,111
555,111
555,111
555,111
555,777
711,111
711,111
711,111
711,111
711,111
555,777
711,111
555,111
711,777
555,111
711,777
711,111
555,777
171,111
171,111
555,111
711,111
711,777
555,777
555,111
555,111
711,111
555,777
711,777
171,777
711,111
555,111
711,111
555,111
711,111
711,111
555,777
711,777
711,777
711,111
555,111
711,777
171,111
711,111
711,111
711,777
711,111
711,111
555,111
711,111
555,111
555,777
711,111
711,111
711,111
711,777
711,111
711,111
555,111
711,111
171,777
711,111
555,777
711,777
711,777
711,111
555,111
711,111
711,111
711,111
711,111
555,111
711,111
711,111
555,111
711,777
711,111
711,111
711,111
711,111
711,111
711,111
711,777
711,111
711,111
555,111
555,111
711,111
555,111
711,777
711,111
711,777
711,111
711,111
555,111
711,111
711,777
555,111
711,777
711,777
555,777
711,111
711,777
555,111
711,111
555,111
555,111
711,111
711,111
555,111
555,111
555,111
555,777
711,111
555,111
711,111
711,777
711,777
711,777
555,111
555,111
555,111
171,777
555,777
711,111
711,111
555,111
171,111
711,111
555,777
555,777
555,111
711,111
711,777
171,111
555,111
711,111
711,111
711,111
555,777
